娛樂綜藝,#genre#
25V0104版,
115新天地民俗臺,https://stream1.freetv.fun/he-nan---xin-ye-zong-he-1.m3u8
ahuei-TaiwanPLUS,https://stream1.freetv.fun/d15985f31d80867da609592a63a89e4f0ee53d70520b96c9b9006c710fea2224.m3u8
AXN,http://aktv.top/AKTV/live/aktv2/axn/AKTV.m3u8
CMusic,https://stream1.freetv.fun/cmusic-2.m3u8
CMusic,https://stream1.freetv.fun/qmusic-1.m3u8
DAZN1麻將,rtmp://f13h.mine.nu:1935/sat/tv731
Food Network(TW),https://stream1.freetv.fun/food-1.m3u8
FTV457,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FTV捷克,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8
GoodTV①綜合台,http://live.streamingfast.net/osmflivech1.m3u8
GoodTV①綜合台,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
GoodTV⑥經典音樂,http://live.streamingfast.net/osmflivech6.m3u8
Lifetime(TW),https://stream1.freetv.fun/ca-lifetime-1.m3u8
Lifetime(TW),https://stream1.freetv.fun/us-lifetime-1.m3u8
Lifetime(TW),https://stream1.freetv.fun/us-lifetime-movies-1.m3u8
MOMO綜合臺,rtmp://f13h.mine.nu/sat/tv761
MOMO綜合臺,rtmp://f13h.mine.nu:1935/sat/tv761
ptsxs小公視1080,https://stream1.freetv.fun/f415852174b30f1fc43d85ce4bf9347586de6f2d688ba1fe1a4095a9db20dcdd.m3u8
ptsxs小公視360,https://stream1.freetv.fun/7706c9338690da43482dbd4abf4cefef0b6e84553b859c7b8071aed4f96b4d9e.m3u8
ptsxs小公視720,https://stream1.freetv.fun/ca6355af1ed58595d492f59a1882f17ba6d6e0c7b2e41ae6e5582d6200321f4d.m3u8
ROCK Entertainment,https://stream1.freetv.fun/rock-entertainment-6.m3u8
Rollor TV,https://stream1.freetv.fun/folklore-tv-1.m3u8
Taiwan Plus,https://stream1.freetv.fun/taiwan-plus-1.m3u8
Taiwan Plus,https://stream1.freetv.fun/taiwan-plus-tv-1.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-1.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-10.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-11.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-12.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-3.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-4.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-5.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-6.m3u8
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-8.m3u8
TVBS HD,https://stream1.freetv.fun/tvbs-8.m3u8
TVBS,https://stream1.freetv.fun/tvbs-5.m3u8
TVBS亞洲①,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲①,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲①,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS精采臺,https://stream1.freetv.fun/tvbs-jing-cai-1.m3u8
